ds,yhat,yhat_lower,yhat_upper
2021-06-27,32074706.701761,16314192.86831214,48206621.150026836
2021-06-28,23326215.43258853,7933042.663327202,39871962.738466576
2021-06-29,23918537.10639465,7658667.1699031815,40318827.49877036
2021-06-30,21912916.25104013,7395688.151449021,37021254.27183597
2021-07-01,20466345.685448263,4415908.451566138,35560757.11395545
2021-07-02,22221611.699733615,6076146.656526737,38157380.96648598
2021-07-03,31270014.40236858,13901566.20219727,46683068.31403918
2021-07-04,31116297.121060744,14984875.732390484,47427017.94238084
2021-07-05,22353396.08703369,6165263.135808477,38767229.665768094
2021-07-06,22951071.242232345,7383382.852632491,40122408.62663787
2021-07-07,20967571.3060238,3967095.5457203723,37344650.20549098
2021-07-08,19556493.94110709,2980823.6406356283,36188126.78398831
2021-07-09,21356941.76976056,3770073.1781188026,37540877.382707566
2021-07-10,30456361.30265846,14602966.949626477,46922975.27287742
2021-07-11,30355596.47397893,14243480.265436007,45495059.272355705
2021-07-12,21643763.746108007,4897219.773443926,38677502.10912917
2021-07-13,22287006.038680658,6231265.705898735,38650832.119018055
2021-07-14,20340274.940157115,3550400.227012621,35824029.66740505
2021-07-15,18954298.62840496,2252760.6491627246,35079264.332639374
2021-07-16,20765832.326172866,4213839.714221724,37382049.53757296
2021-07-17,29860576.666053317,14723710.008482724,46441985.033187225
2021-07-18,29738291.88105933,14132541.086270753,45728015.04472586
2021-07-19,20987713.413237542,5295149.087980461,37788171.07163005
2021-07-20,21575324.645662606,4584652.541826545,37462446.064502575
2021-07-21,19557135.42067675,3304303.0324401753,34823905.33834626
2021-07-22,18085623.632808164,2392367.4971308545,35039651.928533
2021-07-23,19799937.25657237,4305345.464011738,35470812.04289153
2021-07-24,28788743.380762618,12649889.176783642,46110245.63676545
2021-07-25,28555254.00011666,13317743.944729913,44865608.62071232
2021-07-26,19692036.582727473,4176153.590322682,35516799.552713476
2021-07-27,20169668.073441535,3791772.3001841,35861588.39902014
2021-07-28,18048384.39809002,1877035.5430531076,34432583.51885861
2021-07-29,16484886.515586095,746413.8836389537,33066867.79228502
2021-07-30,18122404.38396994,3549552.490344147,35700610.98715948
2021-07-31,27053409.554694176,11269586.865395322,42088877.271638654
2021-08-01,26784510.30237666,11270666.036026385,42981724.267784156
2021-08-02,17911141.36090447,1494215.5324306428,33757360.63168896
2021-08-03,18406110.74930729,1756732.46870776,34092193.694098875
2021-08-04,16331159.235894892,-475854.51378702925,31584373.225665294
2021-08-05,14843696.521035034,-1761834.7849710188,31515164.348686308
2021-08-06,16586817.993905291,1124403.1432051724,32495855.811193977
2021-08-07,25651994.641202897,9409520.60295824,40943153.95545591
2021-08-08,25543971.18918453,8681124.202390464,41668273.5978131
2021-08-09,16855484.988971554,574548.4269559594,33908343.971455805
2021-08-10,17555867.80915132,139038.27729957222,33827239.67281346
2021-08-11,15702685.002277171,-899366.4035882014,32103652.359405316
2021-08-12,14448574.301191617,-1135391.6740661652,31303201.17277591
2021-08-13,16431385.574124742,439811.4259537503,33352935.89398109
2021-08-14,25737010.949595574,9339635.447988357,42107800.012898095
2021-08-15,25864436.66641974,9252398.622388495,42549546.343041226
2021-08-16,17400624.971020866,1627393.151603429,34333835.11186915
2021-08-17,18309283.690684248,2183475.573713059,32733869.270278644
2021-08-18,16642673.189077407,575566.3899473394,33054465.289030664
2021-08-19,15548608.109736225,380982.8453171985,31709670.50393289
2021-08-20,17660750.431635212,1915128.2594830664,33400921.415901124
2021-08-21,27061578.62707121,10797335.937343027,43425446.9765744
2021-08-22,27247559.976105228,12470109.891402759,43910644.62252038
2021-08-23,18804130.495621778,1714811.7393323611,33660659.43519717
2021-08-24,19694536.862275563,3645414.105790392,36179906.97227069
2021-08-25,17971687.32596756,1966355.320120066,34050547.518838964
2021-08-26,16785167.22853767,-81418.47022437339,33431463.599123176
2021-08-27,18771514.551550567,1479669.2232513612,34426496.04978447
2021-08-28,28017140.093204595,11251899.7988849,42880690.73748881
2021-08-29,28023420.00843004,12537059.30588873,43331871.77660372
2021-08-30,19381566.733111612,4096842.4932238655,36046168.883241124
2021-08-31,20061335.028854392,3909653.3788270964,35851310.573728204
2021-09-01,18122713.41806206,2619187.6958780605,34353305.19360932
2021-09-02,16722760.44551579,675721.3128331985,33375796.340886887
2021-09-03,18505685.75340644,2080541.3199112897,34925119.75125636
2021-09-04,27565565.58457411,10939781.671590706,44777111.691757314
2021-09-05,27411225.84058564,10551043.002910573,43167152.351877175
2021-09-06,18640904.33437722,2627984.9404123966,35298629.761466436
2021-09-07,19230754.66698838,2989618.495758455,35403591.05851027
2021-09-08,17246347.61105962,1787414.4358148517,33697462.87074873
2021-09-09,15849334.811933596,-579607.684291646,32437116.615867242
2021-09-10,17687379.782353606,978107.4209996901,33362162.670334544
2021-09-11,26856750.263639785,11044160.939556105,42673423.536988296
2021-09-12,26867108.88058302,11335573.607547529,43206333.46077696
2021-09-13,18316116.7574656,2896050.5691813813,33790677.21537068
2021-09-14,19177914.690278556,3837464.8685439476,35894497.44901528
2021-09-15,17514638.98693933,613655.9881823048,32973538.666405026
2021-09-16,16483137.036851114,2270544.9052867386,34273823.65136871
2021-09-17,18724986.83679685,2144133.0915490827,33500893.10119591
2021-09-18,28329212.806112356,11668984.771361586,45517534.98853809
2021-09-19,28797232.121438466,13471429.76989358,44558570.775613934
2021-09-20,20717642.64840944,5822367.811894901,37416297.52818539
2021-09-21,22054912.664515875,5145585.79915769,36463785.2369719
2021-09-22,20861124.386691857,3838121.749681578,37500598.19063887
2021-09-23,20282930.695528053,4418806.735366613,36296328.19446654
2021-09-24,22951823.189562537,6058043.773562767,37728723.49802785
2021-09-25,32947097.54332862,16483323.884960793,48996749.08096016
2021-09-26,33761043.942147136,17371399.387942404,50027635.51315458
2021-09-27,25973967.286609255,8943083.90985472,42767358.71963646
2021-09-28,27543091.22031594,11225097.964939931,44189876.87152506
2021-09-29,26514492.26430516,10502428.488448255,42055353.974901505
2021-09-30,26030218.28501963,10216212.480666116,42694491.42699672
2021-10-01,28718684.97261647,13033214.10762075,45485934.253505774
2021-10-02,38657732.67853183,22627161.123781648,54351944.80572191
2021-10-03,39339868.695469074,24969729.830425687,56289985.38935194
2021-10-04,31347297.995181866,14908623.160219142,48163694.069396205
2021-10-05,32640795.866575897,18340807.74403106,49099290.28746902
2021-10-06,31271569.2123018,15693232.631742535,47670747.08929987
2021-10-07,30388262.290992916,14379970.198877826,47461352.11036667
2021-10-08,32627203.188683238,15393588.165687121,46369490.807438776
2021-10-09,42075276.97635305,24784568.873668466,57375749.59335364
2021-10-10,42234955.05621202,25187856.90341285,57774262.55250909
2021-10-11,33699089.12646864,16946115.416828413,50387387.354553916
2021-10-12,34439528.98697114,18298224.97286758,49086651.73689918
2021-10-13,32518717.43172002,16336089.100471962,47543287.5007109
2021-10-14,31096424.745260216,15509083.304099903,47794589.17571337
2021-10-15,32819725.98441372,16014730.402661284,47378627.29148314
2021-10-16,41785613.85683038,25351016.597505417,58214212.44436897
2021-10-17,41505783.42875324,25688119.02454594,57997269.02985091
2021-10-18,32581203.226887573,16081815.150299586,49475244.98045518
2021-10-19,32990537.820807055,17437861.695412,49745000.39708676
2021-10-20,30801580.084488146,14888865.890215097,47042169.62126257
2021-10-21,29177859.85394475,13483059.306937909,45561615.20022733
2021-10-22,30768535.402015097,14940682.536529742,46866080.76998093
2021-10-23,39670962.74737278,23352541.557890244,55975849.57395468
2021-10-24,39395480.143226735,23853728.704818685,55402541.15827182
2021-10-25,74701416.07942498,57418992.79962827,90931559.78607565
2021-10-26,73945102.34022215,58040215.396409646,89208306.96582277
2021-10-27,69364217.85802345,52461291.618730776,87166966.36834389
2021-10-28,73074548.3213056,55427886.94144942,88274153.82533164
2021-10-29,61512975.541042775,44897940.933222696,77980913.07908146
2021-10-30,105009799.42648898,88667420.91570254,121426448.62718669
2021-10-31,168639865.30240926,153587880.9724834,184866924.92827535
2021-11-01,78183452.98932134,62716262.998594105,95261622.05904867
2021-11-02,76754148.41435473,60065255.09619976,93151786.73444237
2021-11-03,81692437.37223248,67639135.4588197,98218300.52004045
2021-11-04,39040301.77802627,22268131.834213514,54727699.50194468
2021-11-05,96121500.13559662,80003018.38119365,112927995.49598259
2021-11-06,39829458.97762853,23200711.159142267,55604279.50147456
2021-11-07,40036271.07986602,24289183.037905972,56541673.472353324
2021-11-08,31617825.26687002,15699437.255683148,47870645.67943738
2021-11-09,32533065.32588415,16555371.874578185,47630777.41043319
2021-11-10,30830296.32751956,14958888.596570222,46582660.020830005
2021-11-11,29654287.630171783,14604724.483686468,46302304.49034164
2021-11-12,31636637.430033885,14637120.316511272,48863970.23371667
2021-11-13,40858781.94495673,24299732.249725606,56156652.799447745
2021-11-14,40817175.55073707,24720858.287934832,57590557.82324814
2021-11-15,32098246.58237378,14699867.231236698,48052588.17890477
2021-11-16,32667184.350749306,17491236.74357274,48629546.12589964
2021-11-17,30579706.591940388,14709679.951182585,46724491.072753526
2021-11-18,28988965.87085203,11982184.205094641,43405734.19978859
2021-11-19,30535694.154912435,14713482.42594124,46778355.78945882
2021-11-20,39310974.540546656,23627185.79910621,56072462.821649626
2021-11-21,38821172.76423992,22280492.393547866,54695744.54547254
2021-11-22,29662639.77181746,13360005.3597863,45712539.62318834
2021-11-23,29810247.53047754,13312722.82383532,45207576.16206764
2021-11-24,27328913.831915304,10767433.355461031,42854392.2554645
2021-11-25,25380280.85437879,9901170.126905266,42655601.4277879
2021-11-26,26612652.556079865,11096606.30503238,41419714.06352783
2021-11-27,35123585.02279196,19347812.162240665,50792326.71293586
2021-11-28,34424666.9820786,19330165.220374607,50604143.608140565
2021-11-29,25116105.374817893,8699469.99125089,40656375.389710605
2021-11-30,25175180.903108444,10544018.125200331,40727040.94603358
2021-12-01,22667731.034318563,6064493.579426611,38330496.17911462
2021-12-02,20754825.934694193,4324136.241308451,36227815.88374057
2021-12-03,22082742.01591281,5808076.354168977,38337107.695043705
2021-12-04,30745625.927908525,15124802.43929668,46431912.32209582
2021-12-05,30250383.773204662,14332120.211023392,47467826.165852
2021-12-06,21191407.21241328,4724778.556133205,37357742.27986011
2021-12-07,21539197.29461172,5240902.056788326,37526320.36229169
2021-12-08,19352038.71867141,3386190.599310919,36200087.822322294
2021-12-09,17782884.661022075,1696055.0604147536,34421256.184316255
2021-12-10,19469551.101081226,2865133.068960425,36407376.43461697
2021-12-11,28497607.467799127,12422251.42084092,44728678.21318021
2021-12-12,28365492.280390576,12240141.640690025,43197542.38933591
2021-12-13,19659459.420003287,3270646.7120567476,36988323.37721031
2021-12-14,20342410.068865262,4474608.830009985,36713856.35435315
2021-12-15,18465757.608039696,1973537.2936338414,34949380.488428794
2021-12-16,17176480.72521673,1743290.9843783749,32949991.635371216
2021-12-17,19107459.431268737,2362528.4914229214,33861747.106447645
2021-12-18,28340477.33824669,12654512.200322026,45479739.072979264
2021-12-19,28371416.24696577,12121260.700348854,44952495.94473875
2021-12-20,19785246.964426115,2897878.128593648,35756717.9439626
2021-12-21,20544870.615367934,3928065.177589343,36974395.86662586
2021-12-22,18702957.92271696,3565809.561325328,34591048.64348371
2021-12-23,17408942.831864417,1887407.243968189,33410315.399581622
2021-12-24,19299267.200316157,1993483.4140342593,35744798.765930295
2021-12-25,28460262.763931602,12439192.350667182,44929544.0395594
2021-12-26,28393200.034279615,11525651.759270512,42660993.573905006
2021-12-27,19689112.297577377,3787836.0495382235,35428807.03366157
2021-12-28,20317453.74959406,3530433.9458588115,36468565.18110724
2021-12-29,18337744.398619305,2890044.984403314,33391675.728913754
2021-12-30,16906363.51029336,1960380.6265210265,33202194.680169564
2021-12-31,18666593.80919098,3243810.258415494,35723127.30717956
2022-01-01,27711308.08562324,11046297.571285276,44051322.73911351
2022-01-02,27547833.098155655,12162158.842100957,44653564.72257941
2022-01-03,18772603.836608734,1175129.6245538846,34809168.859813504
2022-01-04,19359671.606341142,3168864.9617595267,35782824.4476981
2022-01-05,17372222.409121983,2041817.2921062163,33746751.98173635
2022-01-06,15969270.557948995,-810783.2913566004,31720143.008325342
2022-01-07,17795632.148902625,697932.8663143215,35913419.229976326
2022-01-08,26944571.634199023,11247919.194402808,43168270.7311822
2022-01-09,26922657.138589844,12182211.745508319,44069482.89483083
2022-01-10,18324437.481662616,2387586.278758512,35088789.527715765
2022-01-11,19121003.42170079,3780524.533593589,35111823.04516875
2022-01-12,17371587.85568242,1133446.8770033438,32978604.240652002
2022-01-13,16230367.414618894,-541269.7958869011,33274652.27546642
2022-01-14,18336566.919042222,1982984.915004599,35064030.37342934
2022-01-15,27777256.202294838,12087378.662253587,44778080.318470016
2022-01-16,28052370.74103517,11424447.574798355,44166190.50474575
2022-01-17,19749564.506278627,3287165.4310133127,35929649.255247846
